"Protein","Cluster","peak1_position_Ctrl","peak1_height_Ctrl"
"MDC1_HUMAN",1,3,10.1598393406224
"MSI1H_HUMAN",1,3,5.10017704930851
"PPIG_HUMAN",1,3,5.09652973030061
"RBM27_HUMAN",1,3,16.3035577557485
"TPX2_HUMAN",1,3,5.15147689969157
"AFF1_HUMAN",2,2,21.084273548733
"ERAL1_HUMAN",3,4,14.4556485440403
"F133B_HUMAN",3,4,15.5731437889857
"TFB2M_HUMAN",3,4,14.803457250067
"TRI33_HUMAN",3,3,5.17768645138815
"AK17A_HUMAN",4,5,25.2974187537363
"ANO8_HUMAN",4,5,11.2511932339852
"DNJC2_HUMAN",4,5,28.698811875419
"HEXI1_HUMAN",4,5,14.5024438087867
"HNRH1_HUMAN",4,5,14.8003266902215
"KHDR3_HUMAN",4,5,6.58891126350326
"NMT1_HUMAN",4,6,22.8092522037052
"RHG05_HUMAN",4,4,24.8320996866341
"RS27L_HUMAN",4,6,6.59725730703528
"TRIPB_HUMAN",4,4,6.22516303544083
"DDX6_HUMAN",5,7,25.0813591546722
"HEXA_HUMAN",5,6,33.4138580246482
"IF4G1_HUMAN",5,6,16.7475939478736
"MET16_HUMAN",5,5,42.2516165181537
"NSUN2_HUMAN",5,6,31.0795352183177
"TB10B_HUMAN",5,6,28.1586200867778
"APTX_HUMAN",6,5,5.87837292662141
"BLM_HUMAN",7,6,10.056035390013
"CCNK_HUMAN",7,6,9.56547941267219
"CSTFT_HUMAN",7,4,5.22566624921652
"DYL1_HUMAN",7,5,14.6876063149535
"EI2BG_HUMAN",7,5,5.35904008681
"H31_HUMAN",7,5,15.289308208302
"H31T_HUMAN",7,5,15.289308208302
"H32_HUMAN",7,5,15.289308208302
"H33_HUMAN",7,5,18.9479065209482
"H3C_HUMAN",7,5,18.3490084574228
"HNRLL_HUMAN",7,5,33.2867674497496
"RS27_HUMAN",7,6,5.94653613047261
"TCF25_HUMAN",7,5,7.10529489060782
"TOE1_HUMAN",7,6,10.277640676862
"CNDG2_HUMAN",8,10,30.1604161292764
"EZH2_HUMAN",8,11,33.9420983984186
"NUMBL_HUMAN",8,11,19.935694656258
"ZN318_HUMAN",8,11,24.507750018614
"BTF3_HUMAN",9,5,26.4761121060813
"HNRPF_HUMAN",9,5,22.6029719264105
"OLA1_HUMAN",9,6,44.4825918017
"PSPC1_HUMAN",9,5,37.1241673472471
"RFA2_HUMAN",9,6,19.4885898381261
"TMX4_HUMAN",9,5,41.3078695682307
"TIM_HUMAN",10,7,63.896919065442
